日足・最新の選択,当日,10月 1日,日足,,,,
市場,銘柄コード,銘柄名,始値,高値,安値,終値,出来高
,,,実,実,実,実,        実
東１,1301,極洋,261,263,260,262,95000
東１,1305,ＥＴＦＴＰＸ,1482,1508,1471,1500,407420
東１,1306,ＴＯＰＩＸ投,1461,1488,1449,1479,5385030
東１,1308,上場ＴＰＸ,1448,1473,1437,1464,715700
東１,1309,上証５０連動投,29700,29950,29460,29700,247
東１,1310,ＥＴＦコア３０,689,707,689,700,3960
東１,1311,ＴＯＰＩＸ３０,707,727,707,727,5700
東１,1312,ＲＮ小型コア投,16660,16660,16660,16660,1
東１,1313,ＫＤＸ２００,2398,2420,2398,2420,230
東１,1314,上場新興,978,987,978,987,500
東１,1319,３００投信,289,289,288,288,5000
東１,1320,ＥＴＦ２２５,17910,18270,17820,18190,90398
東１,1321,２２５投信,17930,18270,17820,18170,576376
東１,1322,上場パンタ,4085,4085,4080,4080,30
東１,1323,南ア４０連動投,345,346,345,346,1100
東１,1324,ＲＴＳ連動型投,92,93,92,92,51400
東１,1325,ボベスパ,113,115,113,114,313000
東１,1326,ＳＰＤＲゴール,12810,12860,12800,12840,1164
東１,1327,ＥＡＳＹ商品,3710,3800,3710,3720,380
東１,1328,金連動投信,3750,3760,3735,3760,1770
東１,1329,ＩＳ２２５,18000,18330,17900,18280,24808
東１,1330,上場２２５,17990,18320,17880,18230,127130
東１,1332,日水,357,358,347,350,2555800
東１,1333,マルハニチロ,1720,1733,1703,1718,111200
東１,1343,ＲＥＩＴＥＴＦ,1775,1808,1771,1795,101510
東１,1344,ＭＸＳコア３０,674,689,669,688,11140
東１,1345,上場Ｊリート,1675,1711,1670,1697,254600
東１,1346,ＭＸＳ２２５,18000,18360,17890,18270,40328
東１,1348,ＭＸＳトピクス,1464,1490,1452,1482,337440
東１,1349,アジア債券,13390,13390,13370,13370,184
東１,1352,ホウスイ,123,123,119,121,78000
東１,1356,ＴＰＸベア２倍,5780,5840,5530,5610,177080
東１,1357,日経Ｄインバ,3295,3335,3160,3200,7819598
東１,1358,上場日経２倍,12190,12630,12020,12530,10138
東１,1360,日経ベア２倍,7840,7920,7510,7610,370400
東１,1361,ｉＳ米国ＨＹ債,12010,12190,12000,12040,969
東１,1362,ｉＳ新興国債券,7270,7300,7230,7280,336
