日足・最新の選択,当日,10月13日,日足,,,,
市場,銘柄コード,銘柄名,始値,高値,安値,終値,出来高
,,,実,実,実,実,        実
東１,1301,極洋,264,265,262,263,101000
東１,1305,ＥＴＦＴＰＸ,1565,1571,1558,1561,110970
東１,1306,ＴＯＰＩＸ投,1545,1551,1538,1542,1669560
東１,1308,上場ＴＰＸ,1528,1535,1522,1528,218300
東１,1309,上証５０連動投,32400,32500,31950,32200,1320
東１,1310,ＥＴＦコア３０,739,739,732,733,1140
東１,1311,ＴＯＰＩＸ３０,770,770,753,753,10100
東１,1312,ＲＮ小型コア投,17070,17240,17070,17100,43
東１,1313,ＫＤＸ２００,2561,2571,2561,2571,50
東１,1319,３００投信,293,293,287,287,15000
東１,1320,ＥＴＦ２２５,18780,18820,18680,18720,40277
東１,1321,２２５投信,18780,18820,18680,18730,364992
東１,1322,上場パンタ,4350,4375,4285,4315,1410
東１,1323,南ア４０連動投,367,368,367,367,2600
東１,1324,ＲＴＳ連動型投,100,100,99,99,267200
東１,1325,ボベスパ,130,131,129,129,255400
東１,1326,ＳＰＤＲゴール,13340,13360,13240,13250,3605
東１,1327,ＥＡＳＹ商品,3705,3785,3705,3785,9
東１,1328,金連動投信,3795,3820,3760,3770,2840
東１,1329,ＩＳ２２５,18860,18870,18760,18790,4870
東１,1330,上場２２５,18850,18870,18730,18780,78800
東１,1332,日水,358,366,355,364,1731500
東１,1333,マルハニチロ,1730,1758,1729,1740,221500
東１,1343,ＲＥＩＴＥＴＦ,1799,1799,1780,1787,40780
東１,1344,ＭＸＳコア３０,728,728,713,714,8110
東１,1345,上場Ｊリート,1690,1697,1677,1682,260200
東１,1346,ＭＸＳ２２５,18870,18900,18760,18800,26958
東１,1347,上場グリチ,4750,4750,4750,4750,20
東１,1348,ＭＸＳトピクス,1547,1554,1539,1543,97010
東１,1349,アジア債券,13770,13770,13750,13770,47
東１,1352,ホウスイ,130,130,129,129,38000
東１,1356,ＴＰＸベア２倍,5140,5170,5080,5150,57340
東１,1357,日経Ｄインバ,2981,3020,2974,3000,4715019
東１,1358,上場日経２倍,13380,13400,13200,13270,3145
東１,1360,日経ベア２倍,7080,7170,7060,7130,178600
東１,1361,ｉＳ米国ＨＹ債,12400,12430,12300,12330,241
東１,1362,ｉＳ新興国債券,7700,7700,7650,7680,311
