日足・最新の選択,当日,10月16日,日足,,,,
市場,銘柄コード,銘柄名,始値,高値,安値,終値,出来高
,,,実,実,実,実,        実
東１,1301,極洋,264,265,263,263,96000
東１,1305,ＥＴＦＴＰＸ,1563,1574,1560,1562,230380
東１,1306,ＴＯＰＩＸ投,1542,1554,1540,1542,2938740
東１,1308,上場ＴＰＸ,1526,1537,1524,1527,629100
東１,1309,上証５０連動投,32850,33000,32350,32600,2050
東１,1310,ＥＴＦコア３０,727,734,727,731,3150
東１,1311,ＴＯＰＩＸ３０,754,758,751,755,2880
東１,1312,ＲＮ小型コア投,17280,17280,17250,17250,21
東１,1313,ＫＤＸ２００,2608,2608,2608,2608,140
東１,1319,３００投信,282,286,282,283,22000
東１,1320,ＥＴＦ２２５,18720,18840,18690,18710,78177
東１,1321,２２５投信,18730,18850,18680,18730,322848
東１,1322,上場パンタ,4445,4485,4415,4420,1200
東１,1323,南ア４０連動投,356,360,356,359,500
東１,1324,ＲＴＳ連動型投,102,103,102,102,198400
東１,1325,ボベスパ,124,124,123,123,41900
東１,1326,ＳＰＤＲゴール,13470,13500,13420,13420,4122
東１,1327,ＥＡＳＹ商品,3730,3730,3730,3730,2
東１,1328,金連動投信,3795,3805,3790,3790,1440
東１,1329,ＩＳ２２５,18800,18910,18770,18820,20204
東１,1330,上場２２５,18790,18900,18740,18780,76930
東１,1332,日水,373,378,372,376,1525300
東１,1333,マルハニチロ,1729,1731,1713,1715,123600
東１,1343,ＲＥＩＴＥＴＦ,1778,1814,1778,1810,56460
東１,1344,ＭＸＳコア３０,714,720,713,714,1570
東１,1345,上場Ｊリート,1680,1726,1678,1715,295200
東１,1346,ＭＸＳ２２５,18810,18920,18770,18810,39677
東１,1348,ＭＸＳトピクス,1544,1555,1542,1545,95600
東１,1349,アジア債券,13800,13800,13700,13700,64
東１,1352,ホウスイ,128,130,128,129,40000
東１,1356,ＴＰＸベア２倍,5120,5140,5040,5130,89380
東１,1357,日経Ｄインバ,3000,3015,2960,3010,5834505
東１,1358,上場日経２倍,13250,13420,13200,13250,8680
東１,1360,日経ベア２倍,7110,7150,7020,7120,213430
東１,1361,ｉＳ米国ＨＹ債,12280,12490,12280,12430,145
東１,1362,ｉＳ新興国債券,7620,7660,7590,7650,470
東１,1363,ｉＳ米国債,24050,24080,24050,24060,34
