"日足・最新の選択","当日"," 8月26日","日足"
"市場","銘柄コード","銘柄名","始値","高値","安値","終値","出来高","","","","","","","","","","","","","","",""
"","","","実","実","実","実","        実","","","","","","","","","","","","","","",""
東１,1301,極洋,259.0,262.0,256.0,259.0,235000,,,,,,,,,,,,,,,
東１,1332,日水,362.0,364.0,353.0,361.0,3556200,,,,,,,,,,,,,,,
東１,1333,マルハニチロ,1748.0,1766.0,1721.0,1740.0,289000,,,,,,,,,,,,,,,
東１,1352,ホウスイ,124.0,127.0,122.0,127.0,158000,,,,,,,,,,,,,,,
ＪＱ,1376,カネコ種,1099.0,1099.0,1041.0,1087.0,9300,,,,,,,,,,,,,,,
東１,1377,サカタのタネ,1885.0,1913.0,1851.0,1873.0,125200,,,,,,,,,,,,,,,
東１,1379,ホクト,2106.0,2106.0,2051.0,2076.0,121600,,,,,,,,,,,,,,,
ＪＱ,1380,秋川牧,481.0,481.0,481.0,481.0,1000,,,,,,,,,,,,,,,
ＪＱ,1381,アクシーズ,2150.0,2150.0,2098.0,2146.0,2400,,,,,,,,,,,,,,,
ＪＱ,1383,ベルグアース,1370.0,1370.0,1328.0,1348.0,600,,,,,,,,,,,,,,,
東２,1384,ホクリヨウ,702.0,710.0,670.0,710.0,73800,,,,,,,,,,,,,,,
ＪＱ,1400,ルーデン,198.0,210.0,196.0,206.0,140000,,,,,,,,,,,,,,,
東マ,1401,エムビーエス,2300.0,2300.0,2300.0,2300.0,300,,,,,,,,,,,,,,,
東２,1405,サーラ住宅,751.0,772.0,751.0,768.0,2100,,,,,,,,,,,,,,,
ＪＱ,1407,ウエストＨＤ,759.0,781.0,756.0,781.0,600600,,,,,,,,,,,,,,,
ＪＱ,1408,サムシングＨＤ,484.0,500.0,480.0,485.0,4100,,,,,,,,,,,,,,,
名２,1413,桧家ＨＤ,1177.0,1177.0,1131.0,1151.0,11400,,,,,,,,,,,,,,,
東１,1414,ショーボンド,4725.0,4785.0,4685.0,4760.0,88500,,,,,,,,,,,,,,,
東１,1417,ミライトＨＤ,1069.0,1112.0,1069.0,1094.0,428600,,,,,,,,,,,,,,,
ＪＱ,1418,インターライフ,223.0,235.0,222.0,233.0,128300,,,,,,,,,,,,,,,
東１,1419,タマホーム,495.0,495.0,476.0,487.0,76700,,,,,,,,,,,,,,,
東１,1420,サンヨーＨ,560.0,564.0,553.0,563.0,20300,,,,,,,,,,,,,,,
東マ,1429,日本アクア,317.0,349.0,306.0,349.0,95500,,,,,,,,,,,,,,,
東マ,1430,ファーストコポ,3455.0,3750.0,3455.0,3690.0,12000,,,,,,,,,,,,,,,
東２,1491,中外鉱,28.0,29.0,27.0,28.0,267000,,,,,,,,,,,,,,,
東１,1514,住石ＨＤ,103.0,103.0,97.0,102.0,647400,,,,,,,,,,,,,,,
東１,1515,日鉄鉱,510.0,537.0,508.0,531.0,237000,,,,,,,,,,,,,,,
東１,1518,三井松,124.0,124.0,122.0,124.0,508000,,,,,,,,,,,,,,,
東１,1605,国際帝石,1118.5,1155.0,1103.0,1145.0,8421800,,,,,,,,,,,,,,,
東１,1606,海洋掘削,2800.0,2867.0,2770.0,2853.0,57000,,,,,,,,,,,,,,,
