日足・最新の選択	当日	8月26日	日足				
市場	銘柄コード	銘柄名	始値	高値	安値	終値	出来高
			実	実	実	実	        実
東証1部	1301	極洋	259	262	256	259	235000
東証1部	1332	日水	362	364	353	361	3556200
東証1部	1333	マルハニチロ	1748	1766	1721	1740	289000
東証1部	1352	ホウスイ	124	127	122	127	158000
JQスタンダード	1376	カネコ種	1099	1099	1041	1087	9300
東証1部	1377	サカタのタネ	1885	1913	1851	1873	125200
東証1部	1379	ホクト	2106	2106	2051	2076	121600
JQスタンダード	1380	秋川牧	481	481	481	481	1000
JQスタンダード	1381	アクシーズ	2150	2150	2098	2146	2400
JQスタンダード	1383	ベルグアース	1370	1370	1328	1348	600
東証2部	1384	ホクリヨウ	702	710	670	710	73800
JQスタンダード	1400	ルーデン	198	210	196	206	140000
東証マザーズ	1401	エムビーエス	2300	2300	2300	2300	300
東証2部	1405	サーラ住宅	751	772	751	768	2100
JQスタンダード	1407	ウエストＨＤ	759	781	756	781	600600
JQスタンダード	1408	サムシングＨＤ	484	500	480	485	4100
JQグロース	1413	桧家ＨＤ	1177	1177	1131	1151	11400
東証1部	1414	ショーボンド	4725	4785	4685	4760	88500
東証1部	1417	ミライトＨＤ	1069	1112	1069	1094	428600
JQスタンダード	1418	インターライフ	223	235	222	233	128300
東証1部	1419	タマホーム	495	495	476	487	76700
東証1部	1420	サンヨーＨ	560	564	553	563	20300
東証マザーズ	1429	日本アクア	317	349	306	349	95500
東証マザーズ	1430	ファーストコポ	3455	3750	3455	3690	12000
東証2部	1491	中外鉱	28	29	27	28	267000
東証1部	1514	住石ＨＤ	103	103	97	102	647400
東証1部	1515	日鉄鉱	510	537	508	531	237000
東証1部	1518	三井松	124	124	122	124	508000
東証1部	1605	国際帝石	1118.5	1155	1103	1145	8421800
東証1部	1606	海洋掘削	2800	2867	2770	2853	57000
東証1部	1662	石油資	3295	3320	3225	3305	547100
東証1部	1663	Ｋ＆Ｏエナジー	1538	1613	1538	1600	60300
東証2部	1711	省電舎	644	644	601	620	20700
東証1部	1712	ダイセキソリュ	2534	2534	2444	2459	37700
JQスタンダード	1716	第一カッタ	889	901	867	886	25700
JQスタンダード	1717	明豊ファシ	298	304	285	303	141600
JQスタンダード	1718	美樹工	305	307	300	305	23000
東証1部	1719	安藤ハザマ	732	734	714	728	2106400
